Meta,ID,Owner,Deck,Elo,Match,Place,PlayerOrder,NewElo,
BMT,1fcc29521c0b80f986131385b956a9a03471a34e37bb0392135f47918bfa0a57,Deniedpluto,+1 For Counters,1000,0,0,,1000,0
BMT,a31c51ad4afc7d15b9b32af61f011e11caba3ee98781749f238d1a9c12a20f43,Deniedpluto,Baba Lysaga and the Sac Attack,1000,0,0,,1000,0
BMT,0ab149c93cc2d00af09331fa2fdff77d491e2db61fc589ecb8101a96c624511c,Deniedpluto,"Bears, Beasts, Battle-Scarred Ayula Cubs",1000,0,0,,1000,0
BMT,7b9ad1f250d0b06eb04d46b286a7b941c680ac70b74ceb79f7189835b1ca2ab7,Deniedpluto,Challenge Deck,1000,0,0,,1000,0
BMT,5e12738b89a4209635fae7134530d14c7d27ff00e5d5b6261b6980f65cd88988,Deniedpluto,Deadly Overgrowth,1000,0,0,,1000,0
BMT,8cc78727cf8b3f78bd25fd485e6d9086c6a8cdd1e0949a553c5e8a7ebad7fa44,Deniedpluto,Dongers Up!,1000,0,0,,1000,0
BMT,01a8d04d84bd301caebd0fef082c8f85bff44eaab622a05cd12ea6a36c9e80ab,Deniedpluto,Don't Blink (or do),1000,0,0,,1000,0
BMT,3fe1000e644cfb25426efce2bec80543643a73946d4efdfc59fcb2bc19fc5dd2,Deniedpluto,Draw Go Drakes,1000,0,0,,1000,0
BMT,a5f20cadee3dd7661d19b28ddd4a469210f4a0becbcd9c3ed8e71217315142f9,Deniedpluto,E.L.M.,1000,0,0,,1000,0
BMT,1a97bf3d4df4bff22c0633bc43753583b482e17c16525d768aecfe43175bfa0a,Deniedpluto,Emiel and The Zookeepers,1000,0,0,,1000,0
BMT,588bdc15c71967d2a534165737c532ef2e86c859653af76315db3fcfde7d688a,Deniedpluto,Epic Marwyning,1000,0,0,,1000,0
BMT,a021039a429ca7770a162beecd50e937125a3c537edde744d15d69c23926fd3d,Deniedpluto,Friends in Wheel Life,1000,0,0,,1000,0
BMT,0d167ce04e379789278028a307408c520cff2542b0b4c1c910c7a116d3fdd2d3,Deniedpluto,Galazeth the Burninator,1000,0,0,,1000,0
BMT,c5a166f8cb704c10796841d43c5f06c7a844499ca32ef85907e572a7bf147588,Deniedpluto,Get Zada Here,1000,0,0,,1000,0
BMT,750e0bc4f0536141dbd98a01132fe92979777565e6bff5688f9df46f63d45484,Deniedpluto,"Go Woke, Convoke!",1000,0,0,,1000,0
BMT,92732af0b74dba9e9f09063b0301986ff9c2985db128c0ae3276ce6d054fd250,Deniedpluto,I'd Tap That,1000,0,0,,1000,0
BMT,0b1e1ddade49f915b184e7f7fdf9d9d3b3fd6eba74270da45156f50e9d56837a,Deniedpluto,In My Head,1000,0,0,,1000,0
BMT,95239b4cda7f34bae4b94c1f28bb6f16c0a383884112048fa290509bcdc503b5,Deniedpluto,Incubation Nation,1000,0,0,,1000,0
BMT,7d76a26578e5bd0e71e7e4e973a8baae150530ee9b49b37ef953e9b1c2a5a56f,Deniedpluto,It's Toolbox Time,1000,0,0,,1000,0
BMT,e2d548e6320e75012316214c86021dff73d139a0d8b8ee769a327d382513a1d8,Deniedpluto,Land's Wrath,1000,0,0,,1000,0
BMT,6f010dc6bdd0c87464cd23f7edbaf9b5f0afb799662d0a0228076e5630aa2bf7,Deniedpluto,Life Shrine's a Way,1000,0,0,,1000,0
BMT,a8bb1ad3b72966c2815d30b4352e35fea5b90209bfc799a6f0cd11550f370301,Deniedpluto,Magic Gone Wild,1000,0,0,,1000,0
BMT,33ad36e090dbb96765a89e80678c677bdddade8dcc63a1ef3e92901af3179655,Deniedpluto,Mandatory Dungeon Hours // Queen's Orders,1000,0,0,,1000,0
BMT,cb51810805714dfa90895db45208b8af601821911fafbce575c76ef4e27b4c28,Deniedpluto,Now That's a Paladin,1000,0,0,,1000,0
BMT,e15660b137e7fe45e6151804a94a62c8e2db4fa61bd939feaf7d4f2d547689ea,Deniedpluto,Omnath Smash Bang Fusion,1000,0,0,,1000,0
BMT,2ba5890a84545caf9dee63d2a531636c5601715be387da99e4b971f349e6cf87,Deniedpluto,Pending Investigation,1000,0,0,,1000,0
BMT,917a9280f12d03f0cd217187b8463f88d40694e488f7b5e53a3efd046479c6c9,Deniedpluto,Pumped Up Kicks,1000,0,0,,1000,0
BMT,3368c3599938a477d56c8ec778ec4bf5c9532c3773188239eac8de9287fb0155,Deniedpluto,Ratdos AristoRats,1000,0,0,,1000,0
BMT,d79ddfc55e1b7dfb416c6d30c19cde70a082fb1677f1e50dd5efa30760f1ee83,Deniedpluto,Squirrels Just Want to Have Fun,1000,0,0,,1000,0
BMT,4037d7a6fbee4c435501c6dac2a0806106ffe0df82423742cb3b92f7429af0f4,Deniedpluto,That's All (mer)Folks!,1000,0,0,,1000,0
BMT,753ba8e01aafcc6abe11b8f0daa7929eaa217b9a128ca603c55c3cf2913ca966,Deniedpluto,The Blade Wyll's It,1000,0,0,,1000,0
