Winner,Loser,Start Deck,Date
Black Vampires,Gruul Bard,Winner,2022-01-18T19:18:58.362215Z
Selesnya Lifegain,Black Vampires,Winner,2022-01-18T23:03:16.538041Z
Selesnya Lifegain,Red Goblins,Winner,2022-01-19T19:41:23.749247Z
Rakdos Treasure,Simic Volo,Winner,2022-01-19T21:21:52.450344Z
Azorius Control,Rakdos Treasure,Loser,2022-01-19T21:36:38.884615Z
Azorius Control,Izzet Spellslinger,Winner,2022-01-20T01:49:28.509163Z
Dimir Rogues,Azorius Control,Loser,2022-01-20T02:06:23.364629Z
Dimir Rogues,Boros Equipment,Winner,2022-01-20T02:28:08.614143Z
Dimir Rogues,Gruul Bard,Winner,2022-01-20T06:40:26.357899Z
Dimir Rogues,Black Vampires,Winner,2022-01-20T06:40:35.212911Z
Orzhov Dungeon,Dimir Rogues,Winner,2022-01-20T06:40:50.912707Z
Orzhov Dungeon,Red Goblins,Loser,2022-01-20T06:40:59.658586Z
Orzhov Dungeon,Golgari Graveyard,Winner,2022-01-20T07:38:14.093735Z
Selesnya Lifegain,Orzhov Dungeon,Loser,2022-01-20T07:38:31.507784Z
Green Elves,Selesnya Lifegain,Winner,2022-01-20T07:38:53.016804Z
Izzet Spellslinger,Gruul Bard,Winner,2022-01-24T04:59:47.493839Z
Gruul Bard,Orzhov Dungeon,Loser,2022-01-24T05:00:19.653656Z
Simic Volo,Boros Equipment,Winner,2022-01-24T05:31:30.538603Z
Rakdos Treasure,Golgari Graveyard,Winner,2022-02-24T17:25:26.827755Z
Rakdos Treasure,Boros Equipment,Winner,2022-02-24T17:25:41.541392Z
Green Elves,Gruul Bard,Winner,2022-03-03T23:01:06.358178Z
Gruul Bard,Boros Equipment,Loser,2022-03-03T23:01:22.692977Z
Rakdos Treasure,Golgari Graveyard,Loser,2022-03-06T21:24:32.850311Z
Orzhov Dungeon,Simic Volo,Winner,2022-03-06T21:25:01.875076Z
Simic Volo,Boros Equipment,Winner,2022-03-06T21:25:10.236102Z
Dimir Rogues,Izzet Spellslinger,Winner,2022-03-06T21:25:34.808206Z
Red Goblins,Green Elves,Winner,2022-03-09T00:27:16.610966Z
Red Goblins,Green Elves,Winner,2022-03-09T00:27:18.220021Z
Green Elves,Red Goblins,Winner,2022-03-09T00:27:28.608364Z
Green Elves,Red Goblins,Winner,2022-03-09T00:47:54.173281Z
Dimir Rogues,Orzhov Dungeon,Winner,2022-03-24T20:27:51.196179Z
Rakdos Treasure,Dimir Rogues,Winner,2022-03-24T20:56:13.007204Z
Gruul Bard,Dimir Rogues,Winner,2022-05-09T21:03:03.687496Z
Gruul Bard,Dimir Rogues,Loser,2022-10-16T00:56:41.194289Z
Gruul Bard,Boros Equipment,Loser,2022-10-16T01:06:23.802138Z
Gruul Bard,Rakdos Treasure,Loser,2022-10-16T01:21:01.858130Z
Selesnya Lifegain,Gruul Bard,Winner,2022-10-16T01:42:59.922379Z
Selesnya Lifegain,Gruul Bard,Winner,2022-10-16T01:53:01.510283Z
Gruul Bard,Selesnya Lifegain,Winner,2022-10-16T01:53:11.078026Z
Izzet Spellslinger,Azorius Monks,Loser,2022-10-16T02:06:45.529411Z
Izzet Artifacts,Azorius Monks,Loser,2022-11-14T02:05:45.529411Z
Izzet Spellslinger,Izzet Artifacts,Loser,2022-11-15T02:06:45.529411Z
Selesnya Lifegain,Gruul Bard,Winner,2022-11-15T03:01:20.524911Z
Red Goblins,Azorius Monks,Loser,2022-11-15T23:10:26.868221Z
Black Vampires,Azorius Monks,Loser,2022-11-15T23:56:11.840390Z
Azorius Monks,Golgari Graveyard,Winner,2022-11-16T01:19:19.571144Z
Azorius Monks,Simic Volo,Loser,2022-11-17T22:27:17.924592Z
Boros Equipment,Dimir Rogues,Winner,2023-04-06T00:06:31.889429Z
Gruul Bard,Izzet Spellslinger,Loser,2023-04-06T00:06:46.322055Z
Gruul Bard,Izzet Spellslinger,Winner,2023-04-06T00:06:57.300365Z
Izzet Spellslinger,Gruul Bard,Winner,2023-04-06T00:07:07.498735Z
Gruul Bard,Selesnya Lifegain,Loser,2023-04-06T00:07:52.523744Z
